"","vek","pohl","panas_01","panas_02","panas_03","panas_04","panas_05","panas_06","panas_07","panas_08","panas_09","panas_10","panas_11","panas_12","panas_14","panas_15","panas_16","panas_17","panas_18","panas_19","panas_20","panas_21","swls_01","swls_02","swls_03","swls_04","swls_05","cesd_01","cesd_02","cesd_03","cesd_04","cesd_05","cesd_06","cesd_07","cesd_08","cesd_09","cesd_10","bfi2s_01","bfi2s_02","bfi2s_03","bfi2s_04","bfi2s_05","bfi2s_06","bfi2s_07","bfi2s_08","bfi2s_09","bfi2s_10","bfi2s_11","bfi2s_12","bfi2s_13","bfi2s_14","bfi2s_15","bfi2s_16","bfi2s_17","bfi2s_18","bfi2s_19","bfi2s_20","bfi2s_21","bfi2s_22","bfi2s_23","bfi2s_24","bfi2s_25","bfi2s_26","bfi2s_27","bfi2s_28","bfi2s_29","bfi2s_30","bfi2s_s_extraversion","bfi2s_s_agreeableness","bfi2s_s_conscientiousness","bfi2s_s_negative_emotionality","bfi2s_s_open_mindedness","cesd_s_total","swls_s_satifaction"
"1",43,"F",4,1,3,1,5,1,1,1,3,1,1,4,1,4,1,3,4,1,4,1,6,7,7,6,7,1,2,1,1,4,1,1,4,1,1,3,3,2,2,4,3,2,2,1,1,4,4,5,4,4,5,2,3,5,3,3,4,4,5,5,2,2,2,3,2,22,23,24,10,25,11,6.6
"2",43,"F",3,4,3,4,3,3,3,2,3,3,4,3,3,3,4,3,3,4,4,4,1,2,4,2,1,3,2,2,3,1,2,1,2,1,2,4,5,3,4,4,3,2,2,4,1,3,3,5,3,4,4,4,2,2,2,4,4,4,2,4,3,4,3,4,4,17,20,21,23,21,23,2
"3",51,"F",3,2,3,2,4,3,3,2,3,4,3,3,2,4,3,4,4,2,3,2,3,4,4,5,3,2,1,2,3,3,1,1,3,2,2,3,4,2,1,4,3,3,3,2,4,3,3,4,3,3,5,3,4,3,3,3,4,5,4,3,3,4,3,5,3,20,19,23,16,18,18,3.8
"4",40,"F",3,3,2,3,3,3,3,1,2,2,3,2,2,2,3,2,3,3,3,4,5,6,5,5,5,3,3,3,3,2,2,2,2,1,1,1,5,2,5,5,1,1,3,3,1,3,3,4,3,4,5,2,2,2,1,4,1,4,3,5,2,3,3,5,1,20,21,20,23,25,24,5.2
"5",49,"F",2,4,2,3,1,3,3,1,2,2,3,3,2,2,4,2,4,4,2,4,1,3,2,1,1,2,2,3,3,1,3,4,1,4,2,4,4,1,5,3,1,1,4,5,4,2,3,4,1,3,3,1,4,1,3,3,4,4,2,2,4,3,3,2,4,13,24,22,26,15,31,1.6
"6",58,"F",4,2,2,3,4,2,1,2,4,3,2,4,1,4,2,3,3,3,4,2,5,5,5,5,4,2,2,1,1,3,2,2,3,1,1,3,4,2,3,2,3,2,2,1,1,5,4,4,4,5,5,2,3,4,1,4,4,4,4,5,2,3,2,3,3,22,23,23,13,21,16,4.8
"7",41,"F",4,2,4,3,4,2,3,1,4,4,3,5,1,4,2,4,4,2,4,2,5,6,6,5,5,2,2,1,3,4,2,2,3,2,1,3,4,1,4,3,2,1,2,2,2,4,3,4,3,3,3,2,3,4,3,2,4,4,4,4,2,3,2,3,2,20,23,24,16,21,18,5.4
"8",47,"M",4,3,3,3,3,2,2,1,3,4,3,3,1,4,3,4,4,3,3,3,3,4,5,3,4,1,2,1,2,3,2,3,3,1,2,3,3,2,4,5,3,2,2,3,2,3,3,4,3,4,3,3,4,3,4,2,4,5,4,5,3,4,2,3,1,19,19,25,18,27,18,3.8
"9",50,"M",4,3,1,1,2,3,2,1,3,2,1,3,3,2,4,4,3,3,3,4,3,3,3,5,2,1,3,1,3,2,2,1,1,3,2,3,4,3,5,3,3,2,5,3,1,3,3,4,4,5,5,2,4,3,2,3,5,3,3,5,4,3,3,3,3,19,23,18,19,23,23,3.2
"10",45,"F",5,1,3,3,4,2,1,1,4,3,3,4,1,4,1,4,4,2,4,1,6,6,6,6,5,1,2,2,2,4,2,1,4,1,1,2,4,2,2,5,4,3,2,1,1,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,2,2,3,4,2,22,21,23,14,26,14,5.8
"11",54,"M",4,1,4,1,3,1,2,1,4,4,2,4,1,4,2,4,4,2,4,3,5,5,6,6,5,1,1,1,1,2,2,1,4,1,1,2,4,1,3,3,3,1,1,2,1,4,4,4,3,5,5,1,5,4,5,2,4,5,5,4,2,3,1,5,1,24,25,29,16,27,13,5.4
"12",52,"M",3,2,3,3,4,2,2,2,4,4,3,3,2,3,3,3,4,3,3,3,4,5,5,5,3,2,2,3,3,2,2,4,3,1,2,2,4,3,4,5,4,3,3,2,2,4,3,4,3,4,5,2,4,3,5,3,4,3,3,4,2,3,2,5,1,24,21,21,20,27,24,4.4
"13",41,"M",5,2,5,4,4,2,2,3,5,5,4,4,2,5,2,5,5,4,5,3,7,7,5,7,7,1,1,1,2,4,1,1,3,1,1,2,3,4,3,4,4,4,2,2,2,4,4,4,4,4,4,4,3,3,4,3,4,3,4,5,4,3,4,4,2,21,18,18,16,25,12,6.6
"14",46,"F",3,2,3,2,2,3,2,1,3,2,3,3,2,3,3,3,3,3,3,2,4,4,5,4,3,2,2,2,2,3,2,2,3,2,1,3,4,4,4,4,2,2,3,3,2,3,3,3,2,4,4,4,3,2,3,2,2,4,4,4,3,4,3,4,2,19,17,18,21,23,19,4
"15",47,"F",3,2,4,4,2,4,3,2,4,4,3,4,2,3,4,3,4,4,4,3,3,4,5,5,2,2,2,NA,1,2,1,1,3,2,1,2,3,4,4,5,4,3,2,2,3,4,3,2,2,3,4,4,2,4,4,5,3,2,3,4,2,4,5,5,3,21,16,13,20,22,NA,3.8
"16",45,"M",4,2,3,3,3,2,1,1,3,1,3,3,1,3,2,2,3,2,3,4,4,4,5,5,5,1,1,1,1,3,1,1,3,1,1,1,5,4,5,4,4,2,4,3,3,4,4,5,2,3,5,1,3,3,3,2,4,4,2,3,2,4,3,4,3,26,24,19,23,19,12,4.6
"17",46,"F",4,2,3,4,3,1,1,1,3,2,4,3,1,4,4,3,4,4,4,4,6,6,6,7,7,2,1,3,1,3,3,2,2,1,1,1,5,2,4,5,2,2,4,1,2,4,4,4,2,3,5,2,4,3,3,3,4,4,4,5,2,4,2,5,1,23,23,22,19,25,19,6.4
"18",56,"F",3,4,2,3,2,3,3,3,3,3,4,3,4,3,4,2,3,3,2,4,4,5,5,4,4,3,2,3,3,3,2,2,2,1,2,4,5,2,4,3,2,2,3,4,3,3,4,3,3,2,4,3,3,2,2,3,4,4,3,4,3,3,3,2,2,17,23,20,20,18,23,4.4
"19",53,"F",3,2,4,3,3,1,3,1,4,3,2,3,1,3,2,3,3,1,4,2,6,6,6,6,4,1,2,1,1,3,1,3,3,1,2,3,3,2,5,4,3,4,2,2,4,4,2,5,1,3,3,2,3,2,3,4,4,4,4,3,2,4,4,5,1,19,17,22,23,20,16,5.6
"20",52,"F",4,1,3,1,5,1,1,1,3,5,1,4,1,3,2,4,4,1,4,2,6,5,7,7,4,2,2,2,1,3,1,1,3,1,1,2,2,2,3,2,4,2,2,1,2,4,3,4,4,4,4,2,4,5,2,2,4,5,5,4,2,3,3,3,2,24,20,24,11,20,15,5.8
"21",52,"M",4,1,3,1,4,1,1,1,4,4,1,4,1,5,2,4,3,1,4,1,7,7,6,7,3,1,1,1,1,4,1,2,4,1,1,3,4,2,2,5,4,2,2,1,1,4,4,4,4,3,3,2,2,4,3,2,4,4,3,4,3,3,2,3,3,21,23,22,13,23,11,6
"22",40,"F",4,2,4,2,3,1,1,1,3,4,2,3,1,3,2,2,2,2,4,2,6,6,6,7,7,1,1,2,2,2,2,3,3,1,1,2,5,1,4,4,2,1,2,2,2,3,4,4,4,3,4,2,4,3,3,2,4,4,4,3,2,2,1,3,2,21,26,26,16,21,18,6.4
"23",49,"M",3,2,3,1,3,2,1,2,4,4,2,3,2,4,2,4,3,2,4,2,4,5,5,5,3,2,3,1,2,4,1,2,4,2,2,4,4,3,3,4,3,3,2,2,2,4,3,3,4,3,4,4,3,4,4,3,3,3,4,4,4,3,3,4,2,18,18,19,15,23,17,4.4
"24",47,"F",2,3,2,3,3,2,1,2,2,3,3,3,2,2,3,2,2,3,2,3,3,4,3,4,1,1,2,2,2,2,3,4,2,1,1,1,3,4,3,2,4,3,2,3,2,3,3,4,3,4,5,3,3,3,2,2,4,3,3,4,2,3,3,5,4,25,19,19,20,18,22,3
"25",40,"M",2,3,1,3,2,1,1,1,2,2,3,3,1,1,2,2,3,3,4,3,4,5,5,5,4,1,1,3,2,2,2,3,2,1,3,2,3,2,3,2,4,3,2,2,2,3,4,4,4,4,4,3,3,4,2,2,4,3,3,4,2,4,3,3,3,23,19,21,15,19,22,4.6
"26",42,"M",3,2,3,4,3,3,1,3,3,3,4,4,1,4,3,4,4,3,3,2,4,6,6,6,3,2,2,1,1,1,1,2,3,1,3,3,4,2,3,4,1,4,3,2,3,3,3,5,2,5,4,4,3,3,2,2,3,4,3,5,3,5,4,3,2,18,15,21,18,23,19,5
"27",47,"M",3,2,3,3,4,2,1,2,4,4,4,3,1,3,3,2,2,3,2,3,5,6,4,4,6,2,2,1,2,3,2,1,3,3,2,2,4,4,2,4,2,3,4,2,2,2,4,3,2,2,4,2,2,4,3,3,4,3,4,4,4,3,4,2,3,17,22,14,14,20,19,5
"28",47,"M",4,2,4,2,4,2,1,1,4,4,2,4,1,4,2,4,4,2,4,1,5,5,6,5,5,1,1,1,1,4,1,1,4,1,1,2,3,2,2,4,4,2,2,2,1,4,3,4,4,4,4,2,4,4,4,2,4,4,4,4,2,2,2,3,2,24,22,24,13,25,10,5.2
"29",50,"M",5,2,4,4,5,3,1,4,5,4,2,4,2,5,2,4,4,4,4,2,6,6,6,6,4,1,2,1,3,3,1,1,3,1,2,3,4,5,4,5,4,5,4,5,1,5,2,4,4,5,3,5,1,4,5,2,4,4,4,5,2,4,5,5,1,23,14,13,20,30,16,5.6
"30",43,"F",3,2,3,3,2,1,1,2,3,2,2,3,1,3,2,4,4,2,3,2,6,4,6,5,3,3,1,3,3,2,2,2,2,1,3,4,4,2,5,4,2,3,2,4,1,2,2,4,4,2,3,2,4,2,2,4,4,4,3,4,4,2,2,3,3,13,21,24,21,20,24,4.8
"31",52,"F",3,2,4,3,2,2,1,1,4,2,4,3,2,4,4,4,3,3,3,2,5,6,5,6,3,3,2,3,2,2,3,2,3,3,1,4,4,2,2,4,3,1,3,2,2,4,3,4,2,3,4,2,4,3,3,4,4,4,4,5,2,3,1,4,2,19,23,24,17,23,24,5
"32",54,"M",3,2,3,3,3,2,1,1,3,3,3,3,2,3,3,4,3,2,3,2,5,6,5,5,4,1,1,1,1,3,1,1,3,1,2,2,3,2,3,2,4,1,2,2,1,3,4,5,3,4,4,2,4,3,4,2,4,4,4,4,3,4,3,3,2,22,22,24,16,23,13,5
"33",55,"M",1,4,3,4,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,3,3,3,3,1,1,3,1,4,4,4,4,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,2,2,14,22,12,22,16,32,1.6
"34",43,"M",3,1,2,1,3,2,2,1,2,2,2,3,1,3,2,3,3,1,3,2,5,5,6,5,4,1,1,1,1,3,1,3,3,1,2,5,4,2,2,4,3,2,2,1,1,4,3,4,4,3,3,2,3,4,3,3,4,3,4,4,3,2,2,2,2,17,23,22,11,23,15,5
"35",50,"F",4,2,3,2,4,3,1,1,4,4,3,4,2,5,3,4,4,2,4,2,6,5,6,6,6,1,1,1,1,4,1,2,3,1,1,3,4,3,2,5,2,1,1,1,1,4,4,4,4,4,3,2,2,4,4,3,5,4,4,4,2,2,3,3,1,19,26,21,12,27,12,5.8
"36",40,"F",3,2,1,2,2,1,2,1,1,3,2,4,1,2,3,4,4,3,2,4,4,3,4,4,3,1,2,2,3,2,3,3,3,2,3,2,4,3,4,4,3,2,2,3,4,3,2,4,4,3,4,2,2,2,4,4,4,4,3,4,4,4,4,2,2,18,20,19,18,21,24,3.6
"37",41,"F",4,1,4,3,4,1,1,1,4,4,2,4,2,4,1,4,4,2,4,2,6,5,6,7,7,1,2,1,2,3,1,2,4,1,2,2,4,5,1,5,3,4,4,1,5,4,2,4,4,4,4,4,1,4,5,3,4,2,4,5,1,4,5,4,1,23,16,11,12,25,15,6.2
"38",41,"M",4,2,4,3,4,3,2,2,5,4,4,3,1,5,2,4,3,3,5,2,7,6,7,7,6,2,3,1,2,3,1,4,4,1,2,4,4,3,4,5,4,3,2,1,1,2,2,4,4,5,5,2,4,4,5,2,4,5,5,5,1,4,2,4,1,22,19,24,14,30,19,6.6
"39",50,"F",4,1,3,2,4,2,1,1,4,3,1,4,2,4,1,4,4,2,4,2,NA,NA,NA,NA,NA,1,2,1,2,4,1,1,4,1,1,3,4,2,2,4,2,1,4,2,2,3,3,5,4,3,4,2,3,4,3,3,4,4,4,4,3,2,3,3,3,18,24,21,13,21,12,NA
"40",45,"M",3,1,2,2,3,2,1,1,4,3,2,3,1,4,2,4,3,1,4,2,4,4,5,3,6,1,1,2,2,4,1,3,4,1,1,4,4,1,5,5,2,2,3,1,2,3,2,4,3,3,4,2,3,4,5,3,4,4,3,2,2,4,2,1,1,18,20,23,15,24,14,4.4
"41",58,"F",4,1,3,2,4,1,1,1,4,4,1,4,1,3,1,4,4,1,5,3,4,5,5,4,5,2,3,2,2,4,1,1,3,3,2,2,4,2,3,4,4,2,1,1,2,4,4,5,4,4,5,2,2,5,5,2,4,4,4,4,2,3,3,4,2,25,23,23,13,25,19,4.6
"42",42,"F",4,1,4,2,1,2,1,1,4,3,2,3,2,4,4,4,4,2,3,2,6,6,6,6,6,2,2,1,2,4,1,2,NA,1,2,2,5,1,4,5,1,1,1,2,1,2,5,5,2,4,4,1,4,3,4,3,4,4,3,4,1,5,4,3,2,19,25,25,19,26,NA,6
"43",43,"F",4,2,5,3,4,5,3,1,5,1,3,4,5,4,4,4,4,5,5,4,4,4,4,2,1,4,4,4,4,1,4,4,2,2,2,1,5,3,5,5,1,3,1,4,1,5,1,5,3,3,5,1,1,3,5,4,4,4,2,5,1,3,4,5,1,23,21,20,24,28,35,3
"44",42,"M",4,2,4,3,3,2,3,1,4,3,3,4,2,4,4,4,4,2,4,3,6,6,6,6,5,2,2,2,3,3,2,3,2,2,2,2,4,2,5,4,4,4,2,4,2,4,4,4,4,3,4,4,3,4,4,2,4,5,3,4,2,4,3,4,1,24,18,23,20,24,23,5.8
"45",50,"F",4,1,3,1,4,1,1,1,3,4,1,4,1,3,2,4,4,2,3,1,7,6,7,7,6,1,1,1,1,4,1,2,4,1,1,4,4,3,1,5,3,1,2,1,1,4,5,4,4,2,4,2,5,4,5,3,5,4,5,4,1,2,1,4,2,21,27,25,11,25,11,6.6
"46",48,"M",4,1,4,2,4,3,1,1,4,3,2,4,2,4,2,4,4,2,5,2,4,5,6,4,4,2,2,4,2,3,1,1,3,1,2,2,4,3,4,5,4,3,2,1,2,5,5,4,4,5,5,2,4,4,4,2,4,5,4,5,4,4,3,4,2,24,22,23,15,27,19,4.6
"47",42,"F",4,4,4,3,2,1,1,1,4,3,3,4,2,4,3,4,4,3,4,2,5,4,5,4,3,1,2,2,2,2,1,1,3,3,2,2,5,4,4,3,3,1,3,3,2,4,4,4,4,3,4,3,3,3,1,3,4,5,4,4,4,3,3,3,3,20,24,20,17,18,19,4.2
"48",42,"M",5,4,4,3,4,3,1,2,5,3,4,4,3,4,3,5,4,3,4,2,5,6,6,7,7,1,1,2,2,4,1,3,3,1,2,3,3,4,4,5,4,4,1,3,1,4,3,4,2,4,5,5,2,4,4,2,4,4,4,4,2,4,4,3,2,24,15,19,18,26,16,6.2
"49",43,"F",3,2,4,4,3,4,1,2,4,4,3,4,1,4,3,3,3,3,3,4,5,5,6,7,5,2,1,1,2,4,1,1,3,1,2,3,3,4,2,5,1,3,2,2,1,4,4,5,2,4,5,3,2,2,4,2,4,3,4,4,3,4,4,4,1,20,19,18,18,27,14,5.6
"50",44,"M",4,1,4,1,5,1,1,1,5,5,1,5,1,4,1,5,5,1,5,1,7,7,7,7,7,3,1,1,3,4,1,1,4,1,1,1,5,1,1,3,3,1,5,1,3,5,3,5,5,5,5,5,5,5,3,1,4,5,5,5,1,4,1,3,1,28,20,26,8,24,14,7
"51",42,"F",2,3,1,3,4,1,2,1,2,3,3,3,1,3,2,3,3,3,4,2,5,3,4,4,5,2,2,2,2,3,1,1,4,2,1,2,4,2,4,2,3,2,2,2,2,3,3,4,4,2,4,2,4,4,2,3,4,4,4,4,2,3,2,2,4,21,22,24,14,16,16,4.2
"52",41,"M",4,2,4,4,4,1,3,3,4,4,3,4,1,4,4,4,3,4,4,4,6,6,6,7,6,2,1,1,2,4,1,1,4,1,1,2,4,2,4,5,5,4,3,2,2,4,3,4,2,5,4,2,4,2,4,2,4,4,4,4,2,3,3,4,2,25,20,22,20,26,12,6.2
"53",44,"F",4,2,4,2,4,2,2,3,4,3,3,3,2,4,3,4,4,2,4,4,4,4,5,4,3,1,2,1,2,2,1,1,4,1,2,2,4,3,4,4,3,2,3,2,1,3,3,4,3,3,4,2,3,3,4,3,4,3,3,4,2,3,2,4,2,21,22,20,19,24,15,4
"54",45,"M",5,2,3,2,3,2,1,1,5,3,1,4,1,4,2,4,4,3,4,1,4,4,4,3,2,1,2,1,2,4,1,1,3,1,1,3,4,3,4,5,3,2,4,3,1,4,3,3,3,5,5,2,5,4,5,3,4,4,3,5,2,4,2,4,1,22,21,21,19,30,13,3.4
"55",54,"F",4,3,2,1,3,1,1,1,3,4,1,3,1,4,3,4,4,3,4,3,2,4,5,5,2,1,3,2,3,3,2,2,4,2,2,2,5,4,4,5,2,2,5,3,3,4,4,5,3,5,5,2,1,2,5,4,5,3,4,5,2,5,5,5,1,21,23,13,21,28,20,3.6
"56",49,"M",4,3,4,3,5,2,1,2,4,5,4,4,1,4,5,4,4,2,3,1,6,7,7,7,7,2,2,1,2,1,2,4,4,1,3,5,2,4,4,1,3,3,2,3,5,4,3,4,4,3,5,2,4,4,1,4,4,4,4,3,3,3,3,3,3,18,19,21,16,12,22,6.8
