"","vek","pohl","panas_01","panas_02","panas_03","panas_04","panas_05","panas_06","panas_07","panas_08","panas_09","panas_10","panas_11","panas_12","panas_14","panas_15","panas_16","panas_17","panas_18","panas_19","panas_20","panas_21","swls_01","swls_02","swls_03","swls_04","swls_05","cesd_01","cesd_02","cesd_03","cesd_04","cesd_05","cesd_06","cesd_07","cesd_08","cesd_09","cesd_10","bfi2s_01","bfi2s_02","bfi2s_03","bfi2s_04","bfi2s_05","bfi2s_06","bfi2s_07","bfi2s_08","bfi2s_09","bfi2s_10","bfi2s_11","bfi2s_12","bfi2s_13","bfi2s_14","bfi2s_15","bfi2s_16","bfi2s_17","bfi2s_18","bfi2s_19","bfi2s_20","bfi2s_21","bfi2s_22","bfi2s_23","bfi2s_24","bfi2s_25","bfi2s_26","bfi2s_27","bfi2s_28","bfi2s_29","bfi2s_30","bfi2s_s_extraversion","bfi2s_s_agreeableness","bfi2s_s_conscientiousness","bfi2s_s_negative_emotionality","bfi2s_s_open_mindedness","cesd_s_total","swls_s_satifaction"
"57",51,"F",3,3,NA,2,2,1,1,1,3,2,2,3,1,3,2,3,3,1,3,2,4,4,5,5,3,2,1,1,3,2,1,1,2,1,3,2,4,3,4,3,2,1,2,1,2,3,4,4,3,4,5,2,2,3,3,4,5,3,4,4,2,2,3,3,2,20,26,19,16,22,19,4.2
"58",47,"M",5,2,4,3,5,1,1,1,3,3,3,3,1,4,3,4,4,1,5,4,5,5,5,6,6,1,1,1,1,2,NA,2,3,2,1,3,4,2,5,3,5,2,2,2,2,5,3,5,3,5,5,2,5,4,3,2,5,5,4,5,2,4,1,5,1,26,22,28,19,25,NA,5.4
"59",53,"M",3,2,3,3,3,4,4,2,3,3,4,4,3,3,4,3,3,4,4,4,4,4,4,5,3,2,2,3,2,2,3,3,2,3,2,2,3,2,4,3,3,2,2,2,4,4,4,4,4,4,4,3,3,4,2,3,4,4,3,4,2,3,4,3,2,22,21,21,16,19,26,4
"60",52,"M",3,3,3,4,3,2,2,1,3,4,3,4,1,3,3,3,4,2,4,2,5,5,6,6,5,1,2,1,1,4,1,1,3,2,1,2,4,3,4,3,4,3,3,2,3,3,4,4,4,4,4,3,4,4,2,3,4,4,4,2,3,3,2,3,3,21,21,22,15,17,13,5.4
"61",41,"F",3,2,3,3,3,2,2,1,3,4,3,3,1,4,2,3,3,2,3,1,4,4,4,5,3,2,1,1,2,3,1,1,3,1,2,3,5,2,3,4,3,3,3,1,1,3,3,4,4,3,3,2,3,4,3,3,5,5,5,5,4,3,3,3,3,17,23,22,12,23,15,4
"62",52,"F",5,2,4,3,3,1,2,1,4,4,3,4,1,4,4,3,4,3,5,3,6,5,5,5,4,2,2,2,2,3,2,1,3,1,2,1,4,2,4,5,4,1,2,2,2,4,3,4,3,4,5,2,4,3,5,2,4,4,3,5,2,4,2,5,1,26,22,24,20,28,18,5
"63",47,"F",3,2,3,4,2,3,1,1,3,3,4,3,2,3,4,4,2,4,4,2,4,4,5,5,2,1,2,2,2,3,1,1,3,1,3,2,4,4,4,2,3,3,3,4,2,4,3,4,1,3,5,4,1,3,1,3,4,2,3,4,1,4,4,5,4,24,18,14,24,16,17,4
"64",50,"F",4,1,4,2,4,1,1,2,4,4,2,4,1,4,2,3,4,2,4,2,3,3,5,4,5,1,2,1,2,3,1,2,3,2,1,2,5,2,2,4,4,1,2,1,2,4,2,5,4,4,4,2,4,4,3,2,4,4,4,4,2,4,2,4,2,24,22,25,13,23,16,4
"65",47,"M",4,4,3,4,2,2,1,1,3,2,1,4,1,2,4,2,3,5,3,4,3,3,3,6,2,1,2,1,1,1,4,3,1,3,4,5,5,4,5,5,1,3,5,5,1,3,1,4,2,3,1,4,5,1,3,3,3,4,2,5,3,5,4,4,2,12,15,18,27,25,27,3.4
"66",43,"F",4,1,3,1,4,1,1,1,3,2,2,3,1,4,3,4,3,2,4,2,7,5,6,7,5,1,1,1,2,3,2,2,2,1,1,2,4,4,4,4,4,2,2,2,2,3,3,3,4,4,4,3,1,2,2,2,4,2,4,3,2,2,4,3,3,23,22,14,17,20,16,6
"67",48,"F",3,4,3,2,2,4,3,2,2,3,4,3,1,3,4,2,3,4,3,4,4,5,3,5,6,2,2,3,3,2,4,1,2,3,1,4,4,2,3,2,2,2,1,4,2,4,4,5,2,4,4,3,4,2,2,4,5,5,5,5,4,3,3,4,2,16,23,26,20,21,25,4.6
"68",44,"F",3,2,2,3,3,1,1,1,2,3,3,3,2,2,2,2,3,2,3,4,3,2,3,5,3,1,1,1,1,2,1,1,1,1,1,4,4,1,4,2,1,1,2,2,4,3,2,4,2,2,4,4,4,3,2,3,4,4,3,4,4,2,3,2,2,15,21,24,18,16,15,3.2
"69",54,"M",3,2,4,4,3,1,1,1,4,4,3,4,2,3,3,3,4,3,3,3,3,4,5,5,3,3,2,1,3,2,1,3,2,1,1,2,5,2,4,4,4,1,1,1,2,3,4,4,4,3,5,1,4,4,5,3,5,5,3,4,2,4,2,4,1,23,26,26,16,25,21,4
"70",57,"F",4,1,4,2,3,2,1,1,4,4,3,4,1,5,2,4,5,2,4,2,5,4,6,4,3,1,3,1,1,3,1,1,3,1,2,2,4,3,4,5,2,1,3,1,1,3,3,3,3,3,4,2,3,2,4,4,4,4,4,4,4,2,3,3,2,17,24,19,17,25,15,4.4
"71",43,"M",4,1,3,3,3,1,1,1,4,4,1,4,1,4,3,5,5,1,5,1,5,5,5,4,6,1,1,1,1,1,1,1,3,2,1,2,3,1,2,4,3,1,1,1,2,4,5,5,3,4,4,2,4,4,3,2,5,4,4,4,1,2,1,2,1,24,26,28,12,24,15,5
"72",40,"F",4,2,3,3,4,1,1,1,4,4,2,3,2,4,2,5,3,3,4,2,5,5,6,6,6,2,3,2,2,4,2,1,3,1,1,2,4,3,2,5,4,2,3,1,2,4,3,4,4,5,4,2,3,4,5,2,4,4,4,5,2,3,2,4,1,24,22,21,13,29,17,5.6
"73",40,"F",4,4,2,2,4,1,4,1,1,1,4,2,1,3,1,2,1,3,4,4,2,4,4,3,3,1,4,3,1,1,3,4,1,3,1,3,4,1,5,4,1,1,2,4,1,4,4,5,4,5,4,3,5,3,4,3,4,4,2,4,1,4,1,5,1,20,22,28,23,27,28,3.2
"74",40,"F",4,1,3,3,4,2,1,1,3,3,3,3,1,4,4,4,4,3,4,4,6,6,6,6,7,1,2,1,1,4,1,2,4,1,2,3,5,2,4,5,3,1,2,2,4,4,4,4,3,3,4,4,4,4,4,2,4,4,3,4,2,5,1,4,2,22,21,25,18,22,13,6.2
"75",40,"M",5,1,4,2,5,1,2,2,5,5,2,4,1,5,1,5,4,2,5,1,7,7,7,7,7,1,1,2,2,4,2,2,3,1,1,2,4,3,4,2,4,2,1,1,1,4,3,4,4,5,5,2,4,4,2,2,4,5,3,4,1,2,1,4,1,26,23,26,16,23,15,7
"76",52,"M",5,2,5,3,4,1,1,2,5,3,2,3,1,4,2,4,3,1,5,1,3,3,5,7,5,2,2,2,1,2,1,1,4,2,1,3,3,3,4,5,5,3,2,2,1,4,3,4,4,4,4,3,3,4,5,3,4,4,4,4,2,3,3,4,1,23,19,21,16,28,16,4.6
"77",57,"F",4,1,3,1,4,3,1,1,4,2,2,3,2,3,2,3,3,2,3,2,5,5,6,7,4,1,2,1,2,4,1,1,4,1,3,4,5,4,4,5,2,4,4,1,4,4,5,5,4,3,5,2,1,4,3,4,5,4,4,5,5,2,4,5,4,16,25,16,16,20,14,5.4
"78",43,"M",4,1,4,2,3,4,1,2,4,4,3,4,2,4,3,4,4,2,4,2,6,6,5,5,4,1,1,1,1,3,1,1,4,1,1,3,4,2,2,5,3,1,1,1,1,4,4,2,4,4,4,2,1,5,5,4,4,3,5,4,2,2,4,3,1,20,25,17,10,28,11,5.2
"79",45,"M",4,1,3,3,4,1,1,1,4,4,2,4,1,3,2,4,4,4,4,2,5,5,5,6,6,1,1,1,1,3,1,1,3,1,1,1,2,2,4,4,4,4,2,2,2,4,4,5,2,4,4,4,4,2,4,2,4,5,4,4,2,3,2,4,2,25,17,26,20,24,12,5.4
"80",43,"F",3,2,3,2,2,1,1,1,3,3,1,4,1,3,1,3,4,1,4,1,6,6,6,7,5,1,1,2,2,4,2,3,3,1,3,2,4,1,2,4,4,2,2,2,4,4,4,5,4,4,4,2,5,4,4,2,4,5,4,4,2,4,1,5,1,24,22,29,15,23,18,6
"81",48,"M",4,2,4,4,3,2,1,2,4,4,3,4,1,4,3,3,4,3,3,2,5,4,5,4,4,2,1,3,3,2,1,3,2,3,4,4,3,2,4,5,4,4,4,3,1,4,3,5,2,4,4,2,3,3,4,2,4,4,4,5,2,5,4,3,2,22,17,20,19,27,26,4.4
"82",43,"M",4,2,4,3,4,1,1,1,4,4,3,4,1,5,3,4,4,2,4,3,6,6,6,6,6,1,1,2,2,4,1,2,4,1,2,1,5,2,3,3,4,2,2,2,1,2,4,4,3,4,5,2,3,4,2,2,4,4,4,4,2,3,2,3,2,24,24,23,15,22,14,6
"83",55,"F",4,1,1,2,3,1,1,1,3,3,1,2,1,3,2,3,4,2,4,2,3,4,5,4,3,2,2,2,1,4,1,1,3,1,1,1,3,3,3,2,4,2,3,2,4,4,2,4,2,3,4,2,3,3,2,3,4,3,4,3,4,4,2,4,4,22,19,20,18,14,14,3.8
"84",57,"M",3,1,3,1,3,1,1,1,3,3,1,3,2,3,2,4,4,1,3,1,5,5,6,6,6,1,1,1,1,1,1,1,4,1,1,1,4,1,4,4,2,1,1,1,1,4,4,4,3,5,5,1,3,4,4,2,5,4,2,2,1,2,2,4,1,25,27,25,18,25,13,5.6
"85",59,"F",3,2,1,1,3,1,1,1,1,3,1,4,1,1,1,3,4,1,4,1,1,1,1,5,1,1,2,4,2,3,1,1,1,4,1,4,2,1,4,4,4,2,3,4,3,2,2,5,4,3,2,3,4,3,2,3,4,4,2,4,3,4,2,3,4,16,17,25,20,18,22,1.8
"86",43,"F",3,3,2,2,3,1,1,1,3,4,3,5,1,3,3,3,5,5,5,3,4,5,5,5,4,1,2,2,3,3,2,3,2,3,2,2,4,2,4,4,4,2,2,2,2,3,3,1,3,2,2,3,1,4,2,2,3,4,4,4,3,4,2,4,4,20,19,18,17,18,23,4.6
"87",51,"F",4,1,4,3,3,1,1,2,4,4,3,4,1,4,3,4,4,1,4,1,5,4,6,6,6,1,1,1,4,4,1,2,4,1,2,1,5,2,5,5,4,4,1,2,1,5,5,4,2,5,5,3,2,3,4,4,4,4,4,4,1,4,4,4,1,26,21,21,20,28,15,5.4
"88",51,"M",4,2,4,3,4,2,1,1,4,5,2,4,2,4,3,4,4,2,4,3,5,5,6,5,5,1,2,1,2,4,1,1,3,1,1,5,5,4,4,3,4,4,2,1,1,4,5,3,4,4,3,4,2,4,2,2,5,4,4,3,2,3,4,5,2,20,22,17,16,21,13,5.2
"89",40,"M",3,3,2,4,3,3,5,1,4,4,4,3,1,4,3,3,4,2,3,5,5,6,4,3,2,2,2,3,3,4,2,1,3,3,2,2,5,3,2,5,3,2,4,3,4,3,3,4,3,4,5,3,4,2,2,3,3,4,4,4,3,4,2,4,4,21,20,21,18,19,21,4
"90",45,"F",4,2,3,1,3,3,2,1,4,3,1,3,1,4,1,4,3,2,3,2,4,3,2,2,2,1,1,1,1,4,2,4,3,1,2,3,5,1,3,5,3,2,1,3,1,5,3,5,5,5,4,1,3,4,5,3,5,5,5,5,4,3,3,3,1,20,25,26,13,30,16,2.6
"91",40,"F",4,1,4,2,4,1,1,2,4,4,2,5,1,5,1,4,5,1,4,1,5,5,6,6,6,1,1,1,1,4,1,1,4,1,1,2,3,1,2,4,3,2,2,1,3,4,2,5,3,4,4,2,5,4,4,1,4,5,5,5,2,4,1,3,1,24,19,29,12,25,10,5.6
"92",44,"F",3,4,3,4,4,3,3,1,3,3,3,3,1,3,3,3,4,4,3,3,4,5,4,3,2,2,1,2,2,2,1,3,NA,3,2,1,4,2,5,4,2,2,2,3,3,3,3,4,3,3,3,3,4,3,3,3,4,4,2,5,3,3,3,4,2,19,21,23,22,22,NA,3.6
"93",54,"F",4,3,2,1,3,1,2,2,2,4,3,4,1,4,3,4,4,3,4,3,7,7,6,6,6,1,1,2,2,3,1,3,2,3,2,4,4,2,4,4,3,3,2,4,3,3,4,4,4,4,3,3,3,3,3,3,4,3,3,4,3,3,4,4,2,17,21,20,20,22,20,6.4
"94",50,"F",5,2,4,1,4,1,2,1,4,3,3,4,1,5,2,5,4,1,4,2,5,3,6,5,6,1,2,1,2,4,1,2,3,1,2,1,4,2,4,4,3,1,1,1,1,4,5,4,4,5,4,1,2,4,1,1,5,5,4,5,1,3,3,4,1,26,27,23,15,25,15,5
"95",48,"F",4,1,3,2,3,1,2,1,4,2,1,4,1,4,1,4,4,1,4,1,6,6,6,3,2,1,1,1,1,4,1,3,4,2,1,3,4,1,2,5,3,2,2,1,1,4,5,5,4,5,4,2,5,4,5,2,4,5,4,5,1,2,1,3,1,23,25,29,12,30,13,4.6
"96",46,"F",4,1,4,3,4,2,2,2,4,4,3,4,2,4,3,4,4,2,4,3,6,5,7,7,5,2,1,1,1,4,1,3,4,1,2,3,4,2,4,4,4,4,2,2,2,3,3,4,3,4,3,4,3,3,4,2,4,4,4,4,4,3,4,4,2,19,18,21,18,24,14,6
"97",41,"M",3,2,4,2,3,1,2,1,3,4,3,4,1,4,4,3,4,3,3,3,6,5,6,6,3,1,2,1,1,3,1,2,4,1,2,2,5,3,4,5,4,1,2,3,2,4,3,3,3,2,4,2,2,4,3,3,4,4,4,4,3,2,4,5,4,22,25,18,19,20,14,5.2
"98",56,"F",4,2,3,2,2,4,4,1,2,4,2,3,2,3,3,3,3,2,4,2,5,5,6,5,4,1,1,1,1,4,1,1,4,1,1,4,4,2,4,3,1,2,2,3,3,4,5,4,4,3,3,2,3,4,2,4,4,4,4,3,3,2,2,2,2,15,25,23,15,18,10,5
"99",55,"F",3,3,2,3,3,3,4,1,2,3,3,3,2,3,3,4,4,3,3,3,2,2,1,2,1,3,4,3,3,2,3,4,1,2,2,2,5,2,5,5,4,2,3,4,3,2,3,4,4,3,5,2,5,2,4,3,4,5,3,5,3,4,2,2,2,21,22,25,20,24,31,1.6
"100",55,"F",3,1,3,1,4,2,1,1,3,3,1,5,1,3,1,4,4,1,4,1,5,5,6,6,6,1,1,1,1,1,1,3,2,1,1,1,4,1,4,3,2,1,2,1,1,5,4,5,5,5,5,3,5,4,3,1,5,4,4,5,3,2,2,3,2,25,25,27,13,25,17,5.6
"101",48,"F",3,2,4,2,4,2,2,2,3,3,3,3,2,3,3,3,3,2,4,2,4,2,4,2,4,1,1,1,1,1,2,1,3,1,3,1,1,5,3,3,4,4,1,1,1,4,3,5,2,5,5,3,2,3,3,1,3,3,4,5,1,4,4,5,1,28,14,18,18,26,17,3.2
"102",46,"M",3,3,3,4,3,2,1,1,3,3,4,3,1,1,4,3,3,3,3,2,4,4,4,4,4,3,2,3,3,3,2,2,3,1,1,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,4,4,4,3,2,4,4,3,3,3,3,3,3,3,19,19,20,17,19,21,4
"103",59,"F",3,1,3,2,3,2,1,1,3,4,2,3,2,3,2,3,4,2,4,3,3,4,4,3,3,1,1,1,1,1,1,3,3,1,2,3,4,2,4,5,2,1,2,1,4,4,4,4,4,4,4,2,5,4,4,2,4,4,4,4,2,4,2,4,1,21,23,25,15,24,17,3.4
"104",51,"F",4,1,3,2,3,1,1,1,4,3,1,4,1,4,2,4,4,2,3,2,4,4,4,5,4,1,1,1,1,4,1,3,3,2,1,2,5,2,4,4,1,1,2,2,1,4,4,5,3,4,3,1,4,3,3,3,5,5,4,5,3,2,1,4,1,18,28,27,18,26,14,4.2
"105",47,"F",4,2,5,3,3,2,1,1,4,2,4,4,1,4,4,4,3,3,4,3,5,5,3,7,3,3,4,3,4,3,3,4,3,1,1,2,4,2,5,4,4,2,2,2,2,4,4,5,2,4,5,2,3,3,4,3,4,4,3,3,2,4,3,4,1,24,22,23,21,24,27,4.6
"106",51,"F",3,2,3,2,3,1,1,1,3,3,1,4,1,3,2,3,4,2,3,2,7,7,7,7,3,1,1,1,1,4,1,2,4,1,1,2,4,1,5,5,3,1,2,2,1,4,4,4,4,4,4,2,4,3,4,2,5,4,4,5,2,3,1,4,1,23,25,26,18,28,11,6.2
"107",55,"F",3,4,2,2,2,5,2,2,2,1,2,3,5,2,4,2,3,3,3,3,1,1,2,2,1,2,3,4,4,1,4,4,1,4,3,3,4,1,5,5,1,1,4,5,1,1,3,4,4,4,4,3,4,1,3,3,4,3,1,3,3,2,3,3,2,15,23,21,25,24,36,1.4
"108",43,"F",3,3,2,3,4,2,1,2,2,4,2,4,1,3,2,4,4,1,3,2,6,6,6,6,3,1,1,1,1,4,1,2,3,1,1,2,4,2,4,3,4,4,2,2,1,4,3,4,3,3,4,3,4,4,2,2,4,4,4,4,2,3,2,3,2,24,19,24,16,21,12,5.4
"109",52,"F",4,1,4,1,3,1,1,1,4,3,1,3,1,4,1,4,4,1,4,1,6,6,6,6,5,1,1,1,1,4,1,1,4,1,1,3,4,1,2,4,3,1,5,1,3,5,5,5,5,4,4,1,4,4,4,2,5,5,4,4,1,1,1,5,1,24,29,25,13,24,10,5.8
"110",45,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",58,"F",4,2,3,1,2,1,1,1,3,5,3,3,1,5,2,5,3,2,4,3,3,3,4,3,3,1,3,2,4,2,2,4,1,1,2,3,4,2,4,5,2,1,5,3,2,3,5,5,5,5,5,4,3,2,5,4,5,5,5,4,3,3,4,3,1,18,24,20,16,28,26,3.2
"112",44,"F",3,2,3,1,5,1,1,1,3,2,1,3,1,3,1,4,4,1,4,1,7,7,7,7,5,2,2,1,2,4,1,2,4,1,1,3,4,1,2,2,4,1,2,1,4,3,4,4,4,3,3,2,4,4,1,2,4,5,4,3,3,4,1,2,4,20,23,27,11,13,14,6.6
"113",54,"M",3,2,1,2,3,1,1,2,2,3,2,3,1,2,3,3,3,2,2,2,2,3,4,4,3,2,2,2,3,2,1,2,2,1,3,3,4,2,4,3,2,2,4,2,4,3,2,4,3,2,4,4,2,3,2,3,2,2,2,4,3,3,3,2,3,18,17,17,18,16,22,3.2
"114",42,"F",3,3,4,4,3,2,1,1,3,3,4,4,1,4,4,3,4,2,4,3,6,6,6,7,6,3,2,4,4,3,2,3,3,1,3,2,4,1,4,5,4,3,4,1,1,4,3,5,4,5,5,1,5,4,5,3,4,5,4,5,2,4,1,4,1,24,21,27,15,30,26,6.2
"115",45,"F",3,2,2,2,2,1,1,1,3,2,2,2,1,3,2,3,3,2,3,2,3,4,4,4,3,1,1,1,1,1,1,2,3,2,1,2,4,3,4,5,2,1,2,1,3,4,3,4,2,2,4,2,3,3,5,3,4,4,4,2,2,3,4,4,1,21,23,20,18,22,16,3.6
"116",45,"F",3,2,3,1,3,1,2,1,3,5,1,5,1,4,2,5,5,2,4,3,5,4,5,7,6,1,1,2,2,4,1,1,3,1,2,2,5,1,4,5,5,1,1,3,2,3,4,5,3,5,5,1,4,3,5,1,5,5,4,5,2,3,1,3,1,26,27,29,18,29,14,5.4
"117",51,"F",4,1,3,1,3,1,1,1,4,3,1,4,1,4,1,3,4,1,4,2,6,5,6,6,7,1,1,2,2,4,1,2,4,1,1,2,4,1,4,4,3,1,3,1,2,4,3,4,4,4,4,2,4,4,4,2,4,4,3,4,2,3,2,3,1,23,23,24,15,25,13,6
"118",43,"F",5,1,3,3,5,4,2,2,5,3,3,5,2,4,1,4,4,2,5,3,5,5,6,7,5,2,2,3,3,3,2,1,3,2,2,2,4,2,4,5,4,4,2,1,1,5,1,2,2,5,5,5,3,4,5,3,4,5,4,5,2,5,3,5,3,25,13,21,18,28,21,5.6
